Season,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001-2002,Tariq Abdul-Wahad\abdulta01,SG,27,TOT,24,12,441,55,147,0.374,1,2,0.5,54,145,0.372,0.378,24,33,0.727,41,43,84,24,20,10,27,56,135
2001-2002,Tariq Abdul-Wahad\abdulta01,SG,27,DEN,20,12,417,55,145,0.379,1,2,0.5,54,143,0.378,0.383,24,32,0.75,39,39,78,22,18,9,24,51,135
2001-2002,Tariq Abdul-Wahad\abdulta01,SG,27,DAL,4,0,24,0,2,0,0,0,,0,2,0,0,0,1,0,2,4,6,2,2,1,3,5,0
2001-2002,Shareef Abdur-Rahim\abdursh01,PF,25,ATL,77,77,2980,598,1297,0.461,21,70,0.3,577,1227,0.47,0.469,419,523,0.801,198,498,696,239,98,81,250,214,1636
2001-2002,Courtney Alexander\alexaco02,SG,24,WAS,56,28,1325,223,474,0.47,5,18,0.278,218,456,0.478,0.476,98,121,0.81,43,105,148,86,35,7,60,113,549
2001-2002,Victor Alexander\alexavi01,C,32,DET,15,0,97,18,51,0.353,0,2,0,18,49,0.367,0.353,4,8,0.5,7,22,29,6,0,1,5,6,40
2001-2002,Malik Allen\allenma01,PF,23,MIA,12,2,161,22,51,0.431,0,1,0,22,50,0.44,0.431,8,10,0.8,15,23,38,5,3,8,2,16,52
2001-2002,Ray Allen\allenra02,SG,26,MIL,69,67,2525,530,1148,0.462,229,528,0.434,301,620,0.485,0.561,214,245,0.873,81,231,312,271,88,18,159,157,1503
2001-2002,Rafer Alston\alstora01,PG,25,MIL,50,7,600,66,191,0.346,27,71,0.38,39,120,0.325,0.416,18,29,0.621,10,62,72,143,32,2,40,42,177
2001-2002,John Amaechi\amaecjo01,PF,31,UTA,54,0,586,54,166,0.325,0,0,,54,166,0.325,0.325,67,105,0.638,52,57,109,29,7,10,55,64,175
2001-2002,Chris Andersen\anderch01,C,23,DEN,24,1,262,25,74,0.338,0,4,0,25,70,0.357,0.338,22,28,0.786,38,38,76,7,7,28,13,35,72
2001-2002,Derek Anderson\anderde01,SG,27,POR,70,27,1860,247,612,0.404,85,228,0.373,162,384,0.422,0.473,178,208,0.856,47,142,189,216,68,8,87,113,757
2001-2002,Kenny Anderson\anderke01,PG,31,BOS,76,76,2430,312,716,0.436,9,33,0.273,303,683,0.444,0.442,98,132,0.742,57,218,275,403,141,10,119,210,731
2001-2002,Nick Anderson\anderni01,SG,34,MEM,15,0,219,21,76,0.276,13,48,0.271,8,28,0.286,0.362,5,9,0.556,1,32,33,14,6,6,14,17,60
2001-2002,Shandon Anderson\andersh01,SG,28,NYK,82,6,1596,149,373,0.399,39,141,0.277,110,232,0.474,0.452,74,107,0.692,57,192,249,76,48,15,97,134,411
2001-2002,Greg Anthony\anthogr01,PG,34,TOT,60,38,1514,183,475,0.385,48,163,0.294,135,312,0.433,0.436,60,91,0.659,22,110,132,282,77,5,94,114,474
2001-2002,Greg Anthony\anthogr01,PG,34,CHI,36,35,961,113,287,0.394,29,90,0.322,84,197,0.426,0.444,47,70,0.671,16,72,88,203,49,4,58,72,302
2001-2002,Greg Anthony\anthogr01,PG,34,MIL,24,3,553,70,188,0.372,19,73,0.26,51,115,0.443,0.423,13,21,0.619,6,38,44,79,28,1,36,42,172
2001-2002,Gilbert Arenas\arenagi01,PG,20,GSW,47,30,1155,174,384,0.453,39,113,0.345,135,271,0.498,0.504,124,160,0.775,41,91,132,174,69,11,97,115,511
2001-2002,Brandon Armstrong\armstbr01,SG,21,NJN,35,0,196,27,85,0.318,5,17,0.294,22,68,0.324,0.347,5,10,0.5,10,6,16,8,7,1,8,26,64
2001-2002,Darrell Armstrong\armstda01,PG,33,ORL,82,79,2730,347,828,0.419,139,398,0.349,208,430,0.484,0.503,182,205,0.888,83,236,319,453,157,10,175,166,1015
2001-2002,Carlos Arroyo\arroyca01,PG,22,TOT,37,1,371,49,111,0.441,0,2,0,49,109,0.45,0.441,13,18,0.722,12,28,40,70,11,1,23,30,111
2001-2002,Carlos Arroyo\arroyca01,PG,22,TOR,17,0,96,13,29,0.448,0,0,,13,29,0.448,0.448,4,6,0.667,3,9,12,21,6,0,12,12,30
2001-2002,Carlos Arroyo\arroyca01,PG,22,DEN,20,1,275,36,82,0.439,0,2,0,36,80,0.45,0.439,9,12,0.75,9,19,28,49,5,1,11,18,81
2001-2002,Chucky Atkins\atkinch01,PG,27,DET,79,62,2285,368,790,0.466,138,336,0.411,230,454,0.507,0.553,83,120,0.692,31,127,158,263,72,11,128,177,957
2001-2002,Stacey Augmon\augmost01,SG,33,CHH,77,3,1319,140,328,0.427,0,3,0,140,325,0.431,0.427,77,101,0.762,59,166,225,103,56,12,54,115,357
2001-2002,Isaac Austin\austiis01,C,32,MEM,21,8,307,36,92,0.391,0,3,0,36,89,0.404,0.391,4,4,1,11,60,71,13,9,5,11,36,76
2001-2002,William Avery\averywi01,PG,22,MIN,28,0,258,26,90,0.289,6,35,0.171,20,55,0.364,0.322,13,19,0.684,4,20,24,36,7,0,19,17,71
2001-2002,Dalibor Bagaric\bagarda01,C,21,CHI,50,0,638,72,178,0.404,0,1,0,72,177,0.407,0.404,41,70,0.586,55,107,162,23,17,24,46,108,185
2001-2002,Vin Baker\bakervi01,C,30,SEA,55,41,1710,315,649,0.485,1,8,0.125,314,641,0.49,0.486,143,226,0.633,168,182,350,72,22,36,127,197,774
2001-2002,Erick Barkley\barkler01,PG,23,POR,19,4,228,24,68,0.353,1,7,0.143,23,61,0.377,0.36,9,10,0.9,5,13,18,34,17,1,12,29,58
2001-2002,Dana Barros\barroda01,PG,34,DET,29,20,582,74,192,0.385,24,71,0.338,50,121,0.413,0.448,21,27,0.778,1,56,57,78,14,2,33,37,193
2001-2002,Brent Barry\barrybr01,SG,30,SEA,81,81,3040,401,790,0.508,164,387,0.424,237,403,0.588,0.611,198,234,0.846,58,383,441,426,147,37,165,182,1164
2001-2002,Jon Barry\barryjo01,SG,32,DET,82,6,1985,255,522,0.489,121,258,0.469,134,264,0.508,0.604,108,116,0.931,42,192,234,274,94,20,111,134,739
2001-2002,Mengke Bateer\bateeme01,C,26,DEN,27,10,408,53,132,0.402,4,12,0.333,49,120,0.408,0.417,29,37,0.784,32,64,96,22,10,5,32,94,139
2001-2002,Tony Battie\battito01,C,25,BOS,74,73,1819,211,390,0.541,0,2,0,211,388,0.544,0.541,88,130,0.677,184,297,481,35,60,67,51,219,510
2001-2002,Shane Battier\battish01,SF,23,MEM,78,78,3097,412,961,0.429,103,276,0.373,309,685,0.451,0.482,198,283,0.7,180,238,418,216,121,81,155,215,1125
2001-2002,Charlie Bell\bellch01,SG,22,TOT,7,0,44,3,11,0.273,0,6,0,3,5,0.6,0.273,2,2,1,2,3,5,2,0,0,5,3,8
2001-2002,Charlie Bell\bellch01,SG,22,PHO,5,0,42,3,11,0.273,0,6,0,3,5,0.6,0.273,2,2,1,2,2,4,2,0,0,5,3,8
2001-2002,Charlie Bell\bellch01,SG,22,DAL,2,0,2,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0
2001-2002,Raja Bell\bellra01,SG,25,PHI,74,12,890,103,240,0.429,12,44,0.273,91,196,0.464,0.454,36,48,0.75,31,80,111,71,21,4,48,109,254
2001-2002,Jonathan Bender\bendejo01,SF,21,IND,78,17,1647,198,460,0.43,45,125,0.36,153,335,0.457,0.479,140,181,0.773,64,180,244,62,19,49,96,147,581
2001-2002,Travis Best\besttr01,PG,29,TOT,74,21,1747,228,518,0.44,21,59,0.356,207,459,0.451,0.46,104,116,0.897,20,131,151,324,89,7,99,173,581
2001-2002,Travis Best\besttr01,PG,29,IND,44,3,954,116,264,0.439,13,34,0.382,103,230,0.448,0.464,57,65,0.877,10,60,70,175,57,6,59,101,302
2001-2002,Travis Best\besttr01,PG,29,CHI,30,18,793,112,254,0.441,8,25,0.32,104,229,0.454,0.457,47,51,0.922,10,71,81,149,32,1,40,72,279
2001-2002,Mike Bibby\bibbymi01,PG,23,SAC,80,80,2659,446,985,0.453,51,138,0.37,395,847,0.466,0.479,155,193,0.803,37,185,222,403,87,15,134,133,1098
2001-2002,Chauncey Billups\billuch01,PG,25,MIN,82,54,2355,348,823,0.423,124,315,0.394,224,508,0.441,0.498,207,234,0.885,35,191,226,450,66,17,138,169,1027
2001-2002,Mookie Blaylock\blaylmo01,PG,34,GSW,35,0,599,50,146,0.342,15,42,0.357,35,104,0.337,0.394,4,8,0.5,8,44,52,114,24,4,37,20,119
2001-2002,Corie Blount\blounco01,PF,33,PHI,72,21,1426,115,251,0.458,0,1,0,115,250,0.46,0.458,29,45,0.644,149,219,368,44,49,26,52,176,259
2001-2002,Mark Blount\blounma01,C,26,BOS,44,0,415,32,76,0.421,0,0,,32,76,0.421,0.421,30,37,0.811,26,59,85,10,16,19,23,59,94
2001-2002,Calvin Booth\boothca01,C,25,SEA,15,15,279,35,82,0.427,0,0,,35,82,0.427,0.427,23,24,0.958,20,34,54,16,6,13,16,47,93
2001-2002,Ruben Boumtje-Boumtje\boumtru01,C,23,POR,33,1,245,13,32,0.406,0,0,,13,32,0.406,0.406,13,25,0.52,21,34,55,4,3,16,14,38,39
2001-2002,Cal Bowdler\bowdlca01,PF,24,ATL,52,0,585,61,174,0.351,1,5,0.2,60,169,0.355,0.353,39,47,0.83,38,72,110,11,18,15,11,64,162
2001-2002,Bruce Bowen\bowenbr01,SF,30,SAS,59,59,1699,155,398,0.389,56,148,0.378,99,250,0.396,0.46,46,96,0.479,42,120,162,88,62,25,66,116,412
2001-2002,Ryan Bowen\bowenry01,SF,26,DEN,75,21,1686,147,307,0.479,1,12,0.083,146,295,0.495,0.48,69,92,0.75,134,165,299,52,75,41,41,171,364
2001-2002,Ira Bowman\bowmair01,SG,28,PHI,3,0,29,5,7,0.714,0,1,0,5,6,0.833,0.714,0,0,,0,1,1,1,2,0,0,3,10
2001-2002,Earl Boykins\boykiea01,PG,25,LAC,68,2,761,110,275,0.4,13,42,0.31,97,233,0.416,0.424,47,61,0.77,27,27,54,145,20,2,44,44,280
2001-2002,Michael Bradley\bradlmi01,PF,22,TOR,26,0,118,13,25,0.52,0,2,0,13,23,0.565,0.52,4,8,0.5,7,17,24,3,0,6,6,10,30
2001-2002,Shawn Bradley\bradlsh01,C,29,DAL,53,16,757,78,163,0.479,0,1,0,78,162,0.481,0.479,59,64,0.922,53,123,176,20,28,64,25,128,215
2001-2002,Elton Brand\brandel01,PF,22,LAC,80,80,3020,532,1010,0.527,0,0,,532,1010,0.527,0.527,389,524,0.742,396,529,925,191,80,163,173,254,1453
2001-2002,Terrell Brandon\brandte01,PG,31,MIN,32,28,962,155,365,0.425,4,23,0.174,151,342,0.442,0.43,83,84,0.988,17,76,93,264,52,6,43,49,397
2001-2002,Jamison Brewer\breweja01,SG,21,IND,13,0,43,2,5,0.4,0,1,0,2,4,0.5,0.4,0,0,,2,6,8,9,2,0,3,3,4
2001-2002,Primoz Brezec\brezepr01,C,22,IND,22,4,160,14,29,0.483,0,0,,14,29,0.483,0.483,15,25,0.6,16,12,28,6,0,7,6,28,43
2001-2002,Chucky Brown\brownch01,SF,33,SAC,18,0,92,10,27,0.37,0,0,,10,27,0.37,0.37,1,2,0.5,10,23,33,6,2,4,5,12,21
2001-2002,Damone Brown\brownda02,SF,22,PHI,17,0,67,8,21,0.381,0,1,0,8,20,0.4,0.381,7,8,0.875,2,2,4,2,1,1,9,11,23
2001-2002,Dee Brown\brownde01,PG,33,ORL,7,0,65,3,20,0.15,1,12,0.083,2,8,0.25,0.175,0,0,,0,9,9,2,3,1,4,4,7
2001-2002,Ernest Brown\browner01,C,22,MIA,3,0,21,1,6,0.167,0,0,,1,6,0.167,0.167,1,4,0.25,1,5,6,0,0,1,3,4,3
2001-2002,Kedrick Brown\brownke01,SF,20,BOS,29,5,245,23,70,0.329,5,27,0.185,18,43,0.419,0.364,12,20,0.6,11,39,50,15,18,7,7,18,63
2001-2002,Kwame Brown\brownkw01,PF,19,WAS,57,3,817,94,243,0.387,0,1,0,94,242,0.388,0.387,70,99,0.707,63,135,198,43,16,26,43,105,258
2001-2002,P.J. Brown\brownpj01,C,32,CHH,80,80,2563,250,527,0.474,0,0,,250,527,0.474,0.474,169,197,0.858,273,513,786,107,59,78,85,222,669
2001-2002,Randy Brown\brownra02,PG,33,BOS,1,0,6,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,2,0,1,0,1,0
2001-2002,Tierre Brown\brownti01,SG,22,HOU,40,1,403,49,115,0.426,4,12,0.333,45,103,0.437,0.443,21,28,0.75,12,30,42,70,19,3,40,26,123
2001-2002,Rick Brunson\brunsri01,PG,29,POR,59,2,520,45,113,0.398,6,11,0.545,39,102,0.382,0.425,29,41,0.707,23,45,68,114,25,2,47,51,125
2001-2002,Kobe Bryant\bryanko01,SG,23,LAL,80,80,3063,749,1597,0.469,33,132,0.25,716,1465,0.489,0.479,488,589,0.829,112,329,441,438,118,35,223,228,2019
2001-2002,Mark Bryant\bryanma01,PF,36,SAS,30,3,206,25,55,0.455,0,0,,25,55,0.455,0.455,6,8,0.75,25,19,44,10,7,2,6,38,56
2001-2002,Greg Buckner\buckngr01,SG,25,DAL,44,16,885,104,198,0.525,5,16,0.313,99,182,0.544,0.538,40,58,0.69,67,106,173,48,31,19,27,124,253
2001-2002,Jud Buechler\buechju01,SF,33,TOT,66,2,684,44,118,0.373,21,60,0.35,23,58,0.397,0.462,2,4,0.5,29,87,116,32,21,8,15,53,111
2001-2002,Jud Buechler\buechju01,SF,33,PHO,6,0,54,2,6,0.333,2,6,0.333,0,0,,0.5,0,0,,2,6,8,3,1,0,1,7,6
2001-2002,Jud Buechler\buechju01,SF,33,ORL,60,2,630,42,112,0.375,19,54,0.352,23,58,0.397,0.46,2,4,0.5,27,81,108,29,20,8,14,46,105
2001-2002,Rodney Buford\buforro01,SG,24,MEM,63,21,1769,258,593,0.435,17,70,0.243,241,523,0.461,0.449,58,80,0.725,52,220,272,71,42,12,63,110,591
2001-2002,Matt Bullard\bullama01,PF,34,CHH,31,0,350,39,115,0.339,16,57,0.281,23,58,0.397,0.409,11,12,0.917,10,37,47,16,2,2,12,29,105
2001-2002,Mitchell Butler\butlemi02,SG,31,POR,11,0,90,10,23,0.435,1,3,0.333,9,20,0.45,0.457,8,12,0.667,6,8,14,5,0,1,5,10,29
2001-2002,Jason Caffey\caffeja01,PF,28,MIL,23,0,283,36,72,0.5,0,1,0,36,71,0.507,0.5,27,43,0.628,24,26,50,12,4,5,19,39,99
2001-2002,Marcus Camby\cambyma01,C,27,NYK,29,29,1007,130,290,0.448,0,1,0,130,289,0.45,0.448,62,99,0.626,89,233,322,33,34,50,42,107,322
2001-2002,Elden Campbell\campbel01,PF,33,CHH,77,74,2156,384,794,0.484,0,2,0,384,792,0.485,0.484,306,384,0.797,133,397,530,102,60,137,138,264,1074
2001-2002,Brian Cardinal\cardibr01,PF,24,DET,8,0,43,6,13,0.462,3,7,0.429,3,6,0.5,0.577,2,2,1,2,4,6,2,1,0,0,5,17
2001-2002,Anthony Carter\cartean01,PG,26,MIA,46,18,1050,89,260,0.342,1,19,0.053,88,241,0.365,0.344,19,36,0.528,19,98,117,214,50,3,72,85,198
2001-2002,Vince Carter\cartevi01,SG,25,TOR,60,60,2385,559,1307,0.428,121,313,0.387,438,994,0.441,0.474,245,307,0.798,138,175,313,239,94,43,154,191,1484
2001-2002,Sam Cassell\cassesa01,PG,32,MIL,74,73,2605,554,1197,0.463,71,204,0.348,483,993,0.486,0.492,282,328,0.86,54,258,312,493,90,12,177,208,1461
2001-2002,Kelvin Cato\catoke01,C,27,HOU,75,73,1917,190,326,0.583,0,1,0,190,325,0.585,0.583,113,194,0.582,176,349,525,29,40,95,53,208,493
2001-2002,Tyson Chandler\chandty01,C,19,CHI,71,31,1389,151,304,0.497,0,0,,151,304,0.497,0.497,134,222,0.604,114,229,343,54,28,93,99,179,436
2001-2002,Calbert Cheaney\cheanca01,SG,30,DEN,68,47,1631,224,466,0.481,0,4,0,224,462,0.485,0.481,46,67,0.687,57,183,240,110,34,21,70,156,494
2001-2002,Chris Childs\childch01,PG,34,TOR,69,4,1576,97,296,0.328,33,120,0.275,64,176,0.364,0.383,58,71,0.817,18,136,154,351,56,5,123,177,285
2001-2002,Doug Christie\chrisdo01,SG,31,SAC,81,81,2798,338,735,0.46,90,256,0.352,248,479,0.518,0.521,206,242,0.851,74,300,374,340,160,25,164,209,972
2001-2002,Keon Clark\clarkke01,C,26,TOR,81,31,2185,380,775,0.49,0,5,0,380,770,0.494,0.49,155,230,0.674,182,421,603,88,58,122,140,258,915
2001-2002,Speedy Claxton\claxtsp01,PG,23,PHI,67,18,1528,181,452,0.4,4,33,0.121,177,419,0.422,0.405,114,136,0.838,46,114,160,198,95,6,95,145,480
2001-2002,Mateen Cleaves\cleavma01,PG,24,SAC,32,0,153,30,68,0.441,2,8,0.25,28,60,0.467,0.456,8,9,0.889,1,7,8,25,7,0,27,9,70
2001-2002,Derrick Coleman\colemde01,PF,34,PHI,58,58,2080,331,735,0.45,28,83,0.337,303,652,0.465,0.469,185,227,0.815,167,342,509,98,42,51,119,158,875
2001-2002,Bimbo Coles\colesbi01,PG,33,CLE,47,1,693,56,146,0.384,4,20,0.2,52,126,0.413,0.397,33,37,0.892,12,43,55,107,13,4,31,59,149
2001-2002,Jason Collier\collija02,C,24,HOU,25,2,365,41,95,0.432,0,1,0,41,94,0.436,0.432,24,32,0.75,31,51,82,9,6,4,13,40,106
2001-2002,Jarron Collins\collija03,C,23,UTA,70,68,1440,158,343,0.461,0,1,0,158,342,0.462,0.461,134,181,0.74,138,158,296,58,29,22,56,234,450
2001-2002,Jason Collins\collija04,C,23,NJN,77,9,1407,117,278,0.421,1,2,0.5,116,276,0.42,0.423,115,164,0.701,132,169,301,81,29,47,72,173,350
2001-2002,Chris Crawford\crawfch01,PF,26,ATL,7,4,131,21,45,0.467,0,1,0,21,44,0.477,0.467,11,15,0.733,9,16,25,5,2,5,10,21,53
